
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",1. Risiko Akses Tidak Sah,User error or intentional actions to bypass security measures,Unauthorized access to sensitive information or financial transactions,Implement strict access controls and regular user authentication checks,Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",2. Risiko Data Breach,Weak encryption or compromised system vulnerabilities allowing unauthorized access to sensitive data,"Loss of customer trust, reputation damage, and potential financial losses","Use strong encryption, regularly update systems and software, conduct thorough risk assessments",High,15,Data Privacy,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",3. Risiko Insider Threat,Authorized employees with malicious intent using Quick Access for personal gain or sabotage,"Financial losses, reputational damage, and compromised customer trust","Implement robust employee background checks, regular training on security protocols, and incident response planning",Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",4. Risiko Authentication Compromise,Weak authentication mechanisms allowing unauthorized users to access Quick Access,Unauthorized access to sensitive information or financial transactions,"Implement multi-factor authentication (MFA), conduct regular security audits, and monitor user behavior",Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",5. Risiko Privilege Escalation,Authorized employees using Quick Access to gain unauthorized system access or privileges,"Compromised system security, potential data breaches, and reputational damage","Implement role-based access control (RBAC), conduct regular privilege reviews, and incident response planning",High,15,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",6. Risiko Data Corruption,User error or malicious intent causing data corruption or deletion through Quick Access,"Financial losses, reputational damage, and potential regulatory non-compliance","Implement robust backup and disaster recovery procedures, conduct regular system testing, and incident response planning",Low,5,Data Privacy,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",7. Risiko Unintended Consequences,Unforeseen consequences of implementing Quick Access without adequate testing or consideration for unintended effects,"System instability, user confusion, or security vulnerabilities","Conduct thorough risk assessments, regular system testing, and monitoring user feedback to identify potential issues",Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",8. Risiko Denial of Service (DoS),Malicious attacks targeting Quick Access to deny users access to critical banking services,"Financial losses, reputational damage, and compromised customer trust","Implement robust security measures, conduct regular threat assessments, and incident response planning",Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",9. Risiko Business Disruption,Unplanned system downtime or reduced functionality due to Quick Access implementation issues,"Financial losses, reputational damage, and potential regulatory non-compliance","Implement robust disaster recovery procedures, conduct regular system testing, and incident response planning",Low,5,Operasional,Pending Review
2026-04-25 22:04:34.519893,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",10. Risiko Compliance Non-Compliance,Failure to comply with regulatory requirements or industry standards due to Quick Access implementation issues,"Financial penalties, reputational damage, and potential loss of business licenses","Conduct thorough risk assessments, implement compliance monitoring, and regular audits to ensure regulatory adherence",Low,5,Operasional,Pending Review
2026-04-25 22:09:51.141155,"uick Access pada Login Screen memungkinkan nasabah mengakses fitur-fitur utama Movin secara lebih cepat tanpa harus melalui proses login penuh, sehingga meningkatkan kemudahan, kecepatan, dan kenyamanan pengguna dalam mengakses layanan yang sering digunakan. ",Risiko 1: Kerugian Finansial,Penyebah: Nasabah tidak memenuhi kewajiban pajak dan tidak dilakukan validasi sistem yang tepat.,"Keuangan negara mengalami kerugian, serta menimbulkan masalah internal bank.","Implementasikan sistem monitoring yang lebih ketat untuk mencegah kecurigan, serta meningkatkan kontrol internal untuk mengontrol pajak.",High,15,Operasional,Pending Review
